DEPARTAMENTO,MUNICIPIO,ESTADOS,VELOCIDAD_SUBIDA,VELOCIDAD_BAJADA,TRAFICO_MENSUAL_SUBIDA,TRAFICO_MENSUAL_BAJADA,USUARIOS_ACTIVOS_MES,INVERSION,ZONA,DIFICULTADACCESO,TIPO_CONECTIVIDAD
SUCRE,LOS PALMITOS,OPERACION,20.0,20.0,13.0615234375,244.1650390625,41,53963793.0,URBANA,,
CAUCA,GUAPI,OPERACION,30.0,30.0,5.046875,66.2421875,19,65915373.47,URBANA,,
CORDOBA,TUCHÍN,OPERACION,20.0,20.0,2.2880859375,43.451171875,10,53963793.0,URBANA,,
SANTANDER,SAN JOSE DE MIRANDA,OPERACION,30.0,30.0,5.7646484375,58.8544921875,15,65915373.47,URBANA,,
CESAR,PAILITAS,OPERACION,30.0,30.0,6.7861328125,142.6416015625,19,65915373.47,URBANA,,
TOLIMA,MURILLO,OPERACION,30.0,30.0,2.3818359375,24.4873046875,48,65915373.47,URBANA,,
ANTIOQUIA,EL SANTUARIO,OPERACION,30.0,30.0,30.3076171875,128.0654296875,107,65915373.47,URBANA,,
SANTANDER,VILLANUEVA,OPERACION,30.0,30.0,30.068359375,247.734375,71,65915373.47,URBANA,,
NARIÑO,NARIÑO,OPERACION,30.0,30.0,12.4296875,106.201171875,37,65915373.47,URBANA,,
CAUCA,MERCADERES,OPERACION,30.0,30.0,2.3388671875,28.6943359375,9,65915373.47,URBANA,,
NORTE DE SANTANDER,LOURDES,OPERACION,30.0,30.0,2.9580078125,38.240234375,23,65915373.47,URBANA,,
CHOCO,RIOSUCIO,OPERACION,30.0,30.0,71.8056640625,1190.8896484375,99,65915373.47,URBANA,,
BOYACA,COPER,OPERACION,30.0,30.0,9.880859375,74.2548828125,20,65915373.47,URBANA,,
BOLIVAR,BARRANCO DE LOBA,OPERACION,30.0,30.0,13.76953125,168.140625,31,65915373.47,URBANA,,
BOYACA,OICATA,OPERACION,30.0,30.0,7.36328125,87.3779296875,29,65915373.47,URBANA,,
CUNDINAMARCA,CAQUEZA,OPERACION,20.0,20.0,0.962890625,19.033203125,16,53963793.0,URBANA,,
BOYACA,TOCA,OPERACION,30.0,30.0,6.3330078125,71.3603515625,12,65915373.47,URBANA,,
CAUCA,TORIBIO,OPERACION,30.0,30.0,11.65625,189.4375,46,65915373.47,URBANA,,
SANTANDER,CHARALA,OPERACION,30.0,30.0,9.4697265625,54.607421875,14,65915373.47,URBANA,,
BOLIVAR,CALAMAR,OPERACION,20.0,20.0,14.79296875,248.3583984375,22,53963793.0,URBANA,,
SANTANDER,ZAPATOCA,OPERACION,30.0,30.0,13.662109375,119.76171875,128,65915373.47,URBANA,,
CUNDINAMARCA,EL COLEGIO,OPERACION,20.0,20.0,5.6669921875,98.669921875,41,53963793.0,URBANA,,
ANTIOQUIA,GUADALUPE,OPERACION,30.0,30.0,8.5849609375,139.962890625,41,65915373.47,URBANA,,
SANTANDER,PUERTO WILCHES,OPERACION,20.0,20.0,12.0400390625,159.58203125,22,53963793.0,URBANA,,
TOLIMA,DOLORES,OPERACION,30.0,30.0,5.4375,62.1533203125,56,65915373.47,URBANA,,
CAUCA,SANTA ROSA,OPERACION,30.0,30.0,30.2890625,259.4091796875,27,65915373.47,URBANA,,
CAUCA,MORALES,OPERACION,30.0,30.0,39.1171875,460.3583984375,226,65915373.47,URBANA,,
CUNDINAMARCA,NIMAIMA,OPERACION,30.0,30.0,5.1787109375,69.2744140625,23,65915373.47,URBANA,,
SANTANDER,CARCASI,OPERACION,30.0,30.0,5.8759765625,90.8056640625,7,65915373.47,URBANA,,
CUNDINAMARCA,SUESCA,OPERACION,30.0,30.0,1.56640625,18.189453125,10,65915373.47,URBANA,,
HUILA,ALGECIRAS,OPERACION,30.0,30.0,11.103515625,211.734375,118,65915373.47,URBANA,,
ANTIOQUIA,VENECIA,OPERACION,30.0,30.0,4.1875,51.2109375,116,65915373.47,URBANA,,
HUILA,OPORAPA,OPERACION,30.0,30.0,1.15234375,23.2734375,23,65915373.47,URBANA,,
CUNDINAMARCA,SILVANIA,OPERACION,20.0,20.0,15.0576171875,90.876953125,93,53963793.0,URBANA,,
SANTANDER,ALBANIA,OPERACION,30.0,30.0,8.0078125,133.1328125,7,65915373.47,URBANA,,
BOYACA,SANTANA,OPERACION,30.0,30.0,3.7353515625,48.4345703125,46,65915373.47,URBANA,,
ARAUCA,FORTUL,OPERACION,30.0,30.0,6.439453125,69.6796875,114,65915373.47,URBANA,,
