DEPARTAMENTO,MUNICIPIO,ESTADOS,VELOCIDAD_SUBIDA,VELOCIDAD_BAJADA,TRAFICO_MENSUAL_SUBIDA,TRAFICO_MENSUAL_BAJADA,USUARIOS_ACTIVOS_MES,INVERSION,ZONA,DIFICULTADACCESO,TIPO_CONECTIVIDAD
CESAR,SAN DIEGO,EN PLANEACION,5.0,21.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
NORTE DE SANTANDER,VILLA CARO,OPERACION,3.0,12.0,83.0,308.0,928,142684114.0,RURAL,MEDIO,EN DISEÑO
NORTE DE SANTANDER,CONVENCION,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
NORTE DE SANTANDER,TOLEDO,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
VALLE DEL CAUCA,EL CAIRO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
MAGDALENA,PIJIÑO DEL CARMEN,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,MUY ALTO,EN DISEÑO
CORDOBA,MONTERIA,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
NORTE DE SANTANDER,EL ZULIA,EN PLANEACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
CHOCO,EL CARMEN DE ATRATO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,ALTO,EN DISEÑO
CUNDINAMARCA,CAQUEZA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
ANTIOQUIA,EL CARMEN DE VIBORAL,PREOPERACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
ANTIOQUIA,SAN PEDRO DE URABA,PREOPERACION,4.0,18.0,0.0,0.0,0,142684114.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
CAUCA,ARGELIA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,ALTO,EN DISEÑO
MAGDALENA,CIENAGA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
META,SAN CARLOS DE GUAROA,EN PLANEACION,5.0,21.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
LA GUAJIRA,RIOHACHA,PREOPERACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
CAUCA,MORALES,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
SUCRE,SAN BENITO ABAD,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
ATLANTICO,PONEDERA,OPERACION,4.0,18.0,82.0,766.0,2060,142684114.0,RURAL,SIN INFORMACION,RADIO ENLACE
ANTIOQUIA,REMEDIOS,EN PLANEACION,4.0,18.0,0.0,0.0,0,142684114.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
LA GUAJIRA,MAICAO,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
HUILA,LA PLATA,PREOPERACION,4.0,18.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
CAUCA,BOLIVAR,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
MAGDALENA,PLATO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
HUILA,GARZON,EN PLANEACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
QUINDIO,GENOVA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
BOYACA,RAMIRIQUI,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
NORTE DE SANTANDER,CUCUTA,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,ALTO,EN DISEÑO
BOYACA,SOCHA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
ANTIOQUIA,YARUMAL,OPERACION,3.0,12.0,26.0,108.0,221,142684114.0,RURAL,MEDIO,RADIO ENLACE
VALLE DEL CAUCA,BUENAVENTURA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
BOLIVAR,HATILLO DE LOBA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,ALTO,EN DISEÑO
HUILA,GIGANTE,OPERACION,5.0,21.0,163.0,897.0,2799,142684114.0,RURAL,BAJO,TERCEROS
NARIÑO,BARBACOAS,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,ALTO,EN DISEÑO
SUCRE,GALERAS,EN PLANEACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
CALDAS,MARMATO,PREOPERACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
CAUCA,SANTA ROSA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,MUY ALTO,EN DISEÑO
CORDOBA,MONTERIA,EN PLANEACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
VALLE DEL CAUCA,BUENAVENTURA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
MAGDALENA,SANTA BARBARA DE PINTO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
MAGDALENA,PIVIJAY,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,MUY ALTO,EN DISEÑO
TOLIMA,HERVEO,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
CESAR,TAMALAMEQUE,EN PLANEACION,4.0,18.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
SUCRE,COROZAL,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
CAUCA,SILVIA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
BOYACA,SUTATENZA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
GUAVIARE,SAN JOSE DEL GUAVIARE,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,MUY ALTO,EN DISEÑO
VALLE DEL CAUCA,PALMIRA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
CUNDINAMARCA,QUIPILE,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
CALDAS,BELALCAZAR,OPERACION,3.0,12.0,12.0,66.0,287,142684114.0,RURAL,MEDIO,RADIO ENLACE
VALLE DEL CAUCA,PALMIRA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
VALLE DEL CAUCA,YOTOCO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
VALLE DEL CAUCA,ARGELIA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,ALTO,EN DISEÑO
CAQUETA,BELEN DE LOS ANDAQUIES,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
SANTANDER,OIBA,OPERACION,3.0,12.0,33.0,47.0,180,142684114.0,RURAL,SIN INFORMACION,SATELITAL
CHOCO,ISTMINA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
SANTANDER,CHIMA,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
CORDOBA,LORICA,OPERACION,3.0,12.0,3.0,35.0,113,142684114.0,RURAL,BAJO,RADIO ENLACE
SUCRE,GUARANDA,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
BOGOTA,"BOGOTA, D.C.",EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
CESAR,GAMARRA,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,BAJO,SATELITAL
MAGDALENA,GUAMAL,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,MEDIO,EN DISEÑO
CESAR,CHIMICHAGUA,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
CESAR,CHIMICHAGUA,OPERACION,4.0,18.0,489.0,1117.0,1009,142684114.0,RURAL,BAJO,RADIO ENLACE
SUCRE,SAN ONOFRE,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
CUNDINAMARCA,MEDINA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
VALLE DEL CAUCA,TULUA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
CAQUETA,SAN VICENTE DEL CAGUAN,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
CESAR,CHIRIGUANA,OPERACION,3.0,15.0,3.0,36.0,33,142684114.0,RURAL,BAJO,RADIO ENLACE
VICHADA,CUMARIBO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
NARIÑO,PASTO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
NORTE DE SANTANDER,CUCUTA,PREOPERACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,ALTO,EN DISEÑO
NARIÑO,SAN ANDRES DE TUMACO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,ALTO,EN DISEÑO
SANTANDER,SAN VICENTE DE CHUCURI,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
CUNDINAMARCA,JERUSALEN,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
PUTUMAYO,VALLE DEL GUAMUEZ,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,MEDIO,EN DISEÑO
CORDOBA,CHINU,OPERACION,3.0,12.0,16.0,184.0,468,142684114.0,RURAL,MEDIO,EN DISEÑO
CESAR,CHIMICHAGUA,OPERACION,3.0,12.0,74.0,498.0,1691,142684114.0,RURAL,BAJO,RADIO ENLACE
TOLIMA,SALDAÑA,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
NARIÑO,LOS ANDES,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
CALDAS,VILLAMARIA,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
CALDAS,VILLAMARIA,PREOPERACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
NARIÑO,BUESACO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
LA GUAJIRA,MAICAO,EN PLANEACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
BOYACA,MONIQUIRA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
CALDAS,MANIZALES,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
VICHADA,LA PRIMAVERA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,ALTO,EN DISEÑO
SANTANDER,SABANA DE TORRES,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
CAQUETA,CARTAGENA DEL CHAIRA,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
NORTE DE SANTANDER,EL CARMEN,OPERACION,3.0,12.0,32.0,281.0,986,142684114.0,RURAL,ALTO,RADIO ENLACE
SUCRE,SAN PEDRO,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
CAQUETA,SOLANO,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
CORDOBA,MOÑITOS,OPERACION,4.0,18.0,95.0,669.0,4215,142684114.0,RURAL,SIN INFORMACION,SATELITAL
BOLIVAR,CALAMAR,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
HUILA,VILLAVIEJA,EN PLANEACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
GUAVIARE,SAN JOSE DEL GUAVIARE,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
SANTANDER,PUERTO WILCHES,EN PLANEACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
BOLIVAR,MORALES,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,MEDIO,EN DISEÑO
SANTANDER,SAN MIGUEL,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
BOLIVAR,RIO VIEJO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,ALTO,EN DISEÑO
CAUCA,FLORENCIA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
RISARALDA,APIA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
BOYACA,TOCA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
LA GUAJIRA,URIBIA,OPERACION,5.0,21.0,285.0,1882.0,2927,142684114.0,RURAL,SIN INFORMACION,RADIO ENLACE
BOYACA,CUCAITA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
CALDAS,PACORA,PREOPERACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
RISARALDA,BELEN DE UMBRIA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
GUAINIA,INIRIDA,EN PLANEACION,4.0,18.0,0.0,0.0,0,142684114.0,RURAL,MUY ALTO,EN DISEÑO
NARIÑO,CONTADERO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
ANTIOQUIA,HELICONIA,PREOPERACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
NARIÑO,CUMBITARA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
TOLIMA,ATACO,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
NORTE DE SANTANDER,TIBU,PREOPERACION,4.0,18.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
TOLIMA,ORTEGA,EN PLANEACION,4.0,18.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
ANTIOQUIA,YARUMAL,OPERACION,3.0,12.0,15.0,123.0,24,142684114.0,RURAL,MEDIO,RADIO ENLACE
CESAR,BOSCONIA,EN PLANEACION,4.0,18.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
CORDOBA,SAN CARLOS,EN PLANEACION,4.0,18.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
NARIÑO,GUACHUCAL,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,MEDIO,EN DISEÑO
META,LA MACARENA,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
HUILA,NEIVA,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
NORTE DE SANTANDER,CUCUTA,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
TOLIMA,ROVIRA,INSTALACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
CUNDINAMARCA,SILVANIA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
NARIÑO,CORDOBA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
NARIÑO,EL TAMBO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
HUILA,ACEVEDO,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
NORTE DE SANTANDER,EL CARMEN,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
HUILA,ACEVEDO,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
LA GUAJIRA,URIBIA,OPERACION,4.0,18.0,4.0,48.0,124,142684114.0,RURAL,SIN INFORMACION,RADIO ENLACE
CAQUETA,SOLITA,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,ALTO,EN DISEÑO
SANTANDER,BARBOSA,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
PUTUMAYO,PUERTO ASIS,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
META,CABUYARO,OPERACION,3.0,12.0,101.0,1424.0,1860,142684114.0,RURAL,BAJO,SATELITAL
SANTANDER,LA BELLEZA,OPERACION,4.0,18.0,23.0,112.0,103,142684114.0,RURAL,BAJO,RADIO ENLACE
RISARALDA,QUINCHIA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
CHOCO,RIOSUCIO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,MUY ALTO,EN DISEÑO
PUTUMAYO,PUERTO GUZMAN,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
VALLE DEL CAUCA,BOLIVAR,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
CORDOBA,MONTERIA,PREOPERACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
CHOCO,ALTO BAUDO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
CASANARE,SAN LUIS DE PALENQUE,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
CAUCA,EL TAMBO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
BOLIVAR,EL GUAMO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
TOLIMA,SANTA ISABEL,EN PLANEACION,0.0,0.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
BOLIVAR,SANTA ROSA DEL SUR,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,ALTO,EN DISEÑO
CESAR,PUEBLO BELLO,PREOPERACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
SUCRE,SAN JUAN DE BETULIA,OPERACION,3.0,15.0,91.0,636.0,2738,142684114.0,RURAL,BAJO,RADIO ENLACE
RISARALDA,APIA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
MAGDALENA,SALAMINA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
ANTIOQUIA,SAN JUAN DE URABA,PREOPERACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
CESAR,AGUSTIN CODAZZI,EN PLANEACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
CAQUETA,PUERTO RICO,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
CORDOBA,CHINU,OPERACION,4.0,18.0,52.0,242.0,1335,142684114.0,RURAL,MEDIO,EN DISEÑO
CAUCA,LA VEGA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
ANTIOQUIA,PEQUE,INSTALACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
TOLIMA,LIBANO,OPERACION,3.0,12.0,15.0,96.0,287,142684114.0,RURAL,BAJO,RADIO ENLACE
CUNDINAMARCA,YACOPI,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
PUTUMAYO,LEGUIZAMO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
CESAR,CHIMICHAGUA,OPERACION,3.0,15.0,77.0,739.0,1105,142684114.0,RURAL,BAJO,RADIO ENLACE
ARAUCA,ARAUQUITA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
MAGDALENA,SANTA MARTA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
ARAUCA,ARAUQUITA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,MEDIO,EN DISEÑO
CORDOBA,CIENAGA DE ORO,OPERACION,3.0,12.0,3.0,33.0,50,142684114.0,RURAL,BAJO,RADIO ENLACE
ARAUCA,ARAUQUITA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
BOLIVAR,MAGANGUE,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
ATLANTICO,JUAN DE ACOSTA,PREOPERACION,5.0,21.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,RADIO ENLACE
NARIÑO,CONTADERO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
LA GUAJIRA,MAICAO,PREOPERACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
NARIÑO,SAN LORENZO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
SANTANDER,SAN GIL,EN PLANEACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
LA GUAJIRA,ALBANIA,OPERACION,5.0,21.0,190.0,1185.0,3318,142684114.0,RURAL,BAJO,RADIO ENLACE
CAUCA,MERCADERES,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
CAUCA,MIRANDA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
SUCRE,GALERAS,OPERACION,3.0,12.0,27.0,134.0,723,142684114.0,RURAL,BAJO,RADIO ENLACE
BOLIVAR,SAN JUAN NEPOMUCENO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,BAJO,EN DISEÑO
BOLIVAR,ZAMBRANO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
SUCRE,LA UNION,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
BOLIVAR,MARIA LA BAJA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
META,VISTAHERMOSA,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
HUILA,SUAZA,EN PLANEACION,3.0,15.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
CESAR,ASTREA,OPERACION,3.0,15.0,31.0,213.0,419,142684114.0,RURAL,BAJO,SATELITAL
ATLANTICO,POLONUEVO,PREOPERACION,5.0,21.0,0.0,0.0,0,142684114.0,RURAL,PENDIENTE CLASIFICAR,EN DISEÑO
SANTANDER,SABANA DE TORRES,EN PLANEACION,4.0,18.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
CUNDINAMARCA,LENGUAZAQUE,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
ANTIOQUIA,URRAO,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,MEDIO,EN DISEÑO
ANTIOQUIA,DON MATIAS,PREOPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
BOLIVAR,MONTECRISTO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,MUY ALTO,EN DISEÑO
CHOCO,ISTMINA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
HUILA,LA PLATA,EN PLANEACION,4.0,18.0,0.0,0.0,0,142684114.0,RURAL,BAJO,EN DISEÑO
RISARALDA,PUEBLO RICO,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
ANTIOQUIA,SAN JUAN DE URABA,PREOPERACION,5.0,21.0,0.0,0.0,0,142684114.0,RURAL,SIN INFORMACION,EN DISEÑO
RISARALDA,BELEN DE UMBRIA,EN PLANEACION,0.0,0.0,0.0,0.0,0,162779223.0,RURAL,SIN INFORMACION,EN DISEÑO
NORTE DE SANTANDER,EL ZULIA,OPERACION,3.0,12.0,0.0,0.0,0,142684114.0,RURAL,BAJO,SATELITAL
